WantedVehMake,WantedVehModel,WantedVehicleTrim,WantedVehYear,WantedCar,,ID,StoreID,ProspectStatus,ProspectSubStatus
TOYOTA,Highlander Hybrid,,2021,2021 TOYOTA Highlander Hybrid,,36115794,58,Active,Sold
,,,,  ,,36112628,769,Active,Active Lead
Lexus,RC 350,2dr Cpe AWD,2015,2015 Lexus RC 350,,36109301,183,Active,Sold
Toyota,Corolla,SE CVT (Natl),2021,2021 Toyota Corolla,,36107280,58,Active,Sold
,,,,  ,,36106369,20330,Bad,No intent to buy
Toyota,Avalon,Touring FWD (Natl),2021,2021 Toyota Avalon,,36105602,58,Active,Sold
,,,,  ,,36105316,301,Bad,Duplicate lead
BMW,X4,xDrive30i Sports Activity Coupe,2019,2019 BMW X4,,36103877,183,Active,Sold
Porsche,911 Carrera,2dr Carrera Cabriolet Tiptronic,2001,2001 Porsche 911 Carrera,,36101897,184,Active,Sold
Toyota,GR Supra,3.0 Premium Auto (Natl),2021,2021 Toyota GR Supra,,36151872,58,Active,Sold
Land Rover,Range Rover Sport,4WD 4dr Autobiography,2015,2015 Land Rover Range Rover Sport,,36151625,184,Active,Pending F&I
Ford,Focus,5dr HB SE,2016,2016 Ford Focus,,36147181,58,Active,Sold
,,,,  ,,36146320,769,Sold,Delivered
Toyota,Venza,Limited AWD (Natl),2021,2021 Toyota Venza,,36145805,58,Active,Sold
Toyota,RAV4,XLE AWD (Natl),2018,2018 Toyota RAV4,,36142069,58,Active,Sold
,,,,  ,,36140338,766,Bad,Duplicate lead
Toyota,RAV4,Limited AWD (Natl),2021,2021 Toyota RAV4,,36135656,58,Active,Sold
Toyota,Camry,XSE Automatic (Natl),2017,2017 Toyota Camry,,36134654,58,Active,Sold
Toyota,RAV4,Hybrid XLE AWD (Natl) *Ltd Avail*,2021,2021 Toyota RAV4,,36132478,58,Active,Sold
Dodge,Grand Caravan,GT Wagon,2019,2019 Dodge Grand Caravan,,36131163,58,Active,Sold
Toyota,Prius Prime,XLE (Natl),2021,2021 Toyota Prius Prime,,36128413,58,Active,Sold
Toyota,Sienna,5dr 7-Pass Van V6 Ltd AWD (Natl),2014,2014 Toyota Sienna,,36128035,58,Active,Sold
BMW,4 Series,440i Convertible,2017,2017 BMW 4 Series,,36179601,183,Active,Sold
Porsche,911,Carrera Coupe,2018,2018 Porsche 911,,36178521,184,Active,Up/Contacted
,,,,  ,,36174152,58,Active,Pending F&I
PORSCHE,MACAN,GTS,2021,2021 PORSCHE MACAN,,36172006,184,Active,Write Up
BMW,2 Series,2dr Cpe M235i RWD,2015,2015 BMW 2 Series,,36169471,184,Active,Sold
Porsche,Panamera,RWD,2019,2019 Porsche Panamera,,36166381,184,Active,Sold
Honda,Civic,EX Automatic Sedan,2010,2010 Honda Civic,,36163302,58,Active,Sold
,,,,  ,,36161293,769,Sold,Delivered
Porsche,718 Cayman,GTS 4.0 Coupe,2021,2021 Porsche 718 Cayman,,36161224,184,Active,Lost
ACURA,RDX,FWD 4dr Tech Pkg,2013,2013 ACURA RDX,,36158180,184,Active,Sold
Honda,CR-V,4WD LX Auto,2004,2004 Honda CR-V,,36155874,58,Active,Sold
,,,,  ,,36155230,769,Sold,Delivered
PORSCHE,CAYENNE,,2021,2021 PORSCHE CAYENNE,,36211015,184,Active,Write Up
,,,,  ,,36210121,769,Sold,Delivered
Porsche,718 Boxster,Roadster,2021,2021 Porsche 718 Boxster,,36206612,184,Active,Sold
Porsche,Cayenne,AWD,2017,2017 Porsche Cayenne,,36203454,184,Active,Sold
Porsche,911,Carrera Coupe,2017,2017 Porsche 911,,36199542,184,Active,Write Up
BMW,3 Series,M340i Sedan North America,2020,2020 BMW 3 Series,,36198929,183,Active,Lost
Lexus,IS 300,4dr Sdn Auto Trans,2003,2003 Lexus IS 300,,36198458,184,Active,Sold
Porsche,Macan,,2021,2021 Porsche Macan,,36197785,184,Active,Write Up
,,,,  ,,36197229,769,Lost,Lead process completed
Porsche,718 Cayman,GTS,2021,2021 Porsche 718 Cayman,,36194900,184,Active,Write Up
Lexus,IS 300,4dr Sdn Auto Trans,2003,2003 Lexus IS 300,,36193844,184,Active,Sold
BMW,5 Series,4dr Sdn 528i RWD,2016,2016 BMW 5 Series,,36193388,183,Active,Sold
HONDA,CIVIC,LX Automatic Sedan,2009,2009 HONDA CIVIC,,36189402,58,Active,Sold
Porsche,Cayenne,AWD,2021,2021 Porsche Cayenne,,36188025,184,Active,Sold
Toyota,RAV4,Hybrid LE AWD (Natl) *Ltd Avail*,2020,2020 Toyota RAV4,,36187467,58,Active,Sold
,,,,  ,,36185533,762,Bad,No intent to buy
Toyota,Tacoma,TRD Sport Double Cab 6' Bed V6 4x4 AT (Natl),2017,2017 Toyota Tacoma,,36261388,58,Active,Sold
,,,,  ,,36260511,769,Lost,Lead process completed
Cadillac,CTS Sedan,4dr Sdn 3.0L Luxury AWD,2012,2012 Cadillac CTS Sedan,,36254252,58,Active,Lost
BMW,4 Series,440i Convertible,2018,2018 BMW 4 Series,,36253504,183,Active,Lost
,,,,  ,,36253461,301,Lost,Lead process completed
Mercedes-Benz,GLC,GLC 300 4MATIC SUV,2019,2019 Mercedes-Benz GLC,,36250771,184,Active,Lost
,,,,  ,,36249502,769,Sold,Delivered
,,,,  ,,36240908,766,Bad,No intent to buy
PORSCHE,CAYENNE,TURBO,2021,2021 PORSCHE CAYENNE,,36228137,184,Active,Pending F&I
Porsche,911,Carrera S Coupe,2018,2018 Porsche 911,,36225913,184,Active,Up/Contacted
GMC,Yukon,4WD 4dr Denali,2015,2015 GMC Yukon,,36224940,58,Active,Sold
SUBARU,LEGACY,2.5i Limited,2017,2017 SUBARU LEGACY,,36224219,58,Active,Sold
